gene	dir	proportion_retained	num_seqs_unaligned	num_seqs_aligned	kingdom	phylum	class	order	family	genus	species	subspecies	different_genbank_species
Raphitoma-linearis-COI	Gastropoda/Neogastropoda/Raphitomidae/Raphitoma-linearis	1.0	3	3	Animalia	Mollusca	Gastropoda	Neogastropoda	Raphitomidae	Raphitoma	Raphitoma linearis		
Raphitoma-linearis-H3	Gastropoda/Neogastropoda/Raphitomidae/Raphitoma-linearis	1.0	4	4	Animalia	Mollusca	Gastropoda	Neogastropoda	Raphitomidae	Raphitoma	Raphitoma linearis		
Reishia-bitubercularis-COI	Gastropoda/Neogastropoda/Muricidae/Reishia-bitubercularis	1.0	33	33	Animalia	Mollusca	Gastropoda	Neogastropoda	Muricidae	Reishia	Reishia bitubercularis		Thais bitubercularis
Reishia-clavigera-COI	Gastropoda/Neogastropoda/Muricidae/Reishia-clavigera	1.0	65	65	Animalia	Mollusca	Gastropoda	Neogastropoda	Muricidae	Reishia	Reishia clavigera		
Reishia-luteostoma-COI	Gastropoda/Neogastropoda/Muricidae/Reishia-luteostoma	1.0	8	8	Animalia	Mollusca	Gastropoda	Neogastropoda	Muricidae	Reishia	Reishia luteostoma		Thais luteostoma
Reticunassa-neoproducta-COI	Gastropoda/Neogastropoda/Nassariidae/Reticunassa-neoproducta	1.0	8	8	Animalia	Mollusca	Gastropoda	Neogastropoda	Nassariidae	Reticunassa	Reticunassa neoproducta		Reticunassa cf. neoproducta JOD_2080
Retusa-obtusa-COI	Gastropoda/Cephalaspidea/Retusidae/Retusa-obtusa	1.0	6	6	Animalia	Mollusca	Gastropoda	Cephalaspidea	Retusidae	Retusa	Retusa obtusa		
Rhagada-angulata-COI	Gastropoda/Stylommatophora/Camaenidae/Rhagada-angulata	1.0	3	3	Animalia	Mollusca	Gastropoda	Stylommatophora	Camaenidae	Rhagada	Rhagada angulata		
Rhagada-convicta-COI	Gastropoda/Stylommatophora/Camaenidae/Rhagada-convicta	1.0	24	24	Animalia	Mollusca	Gastropoda	Stylommatophora	Camaenidae	Rhagada	Rhagada convicta		
Rhagada-elachystoma-COI	Gastropoda/Stylommatophora/Camaenidae/Rhagada-elachystoma	1.0	16	16	Animalia	Mollusca	Gastropoda	Stylommatophora	Camaenidae	Rhagada	Rhagada elachystoma		Rhagada perprima
Ringiculoides-kurilensis-COI	Gastropoda/Cephalaspidea/Ringiculidae/Ringiculoides-kurilensis	1.0	12	12	Animalia	Mollusca	Gastropoda	Cephalaspidea	Ringiculidae	Ringiculoides	Ringiculoides kurilensis		
Rissoa-guernei-COI	Gastropoda/Littorinimorpha/Rissoidae/Rissoa-guernei	1.0	14	14	Animalia	Mollusca	Gastropoda	Littorinimorpha	Rissoidae	Rissoa	Rissoa guernei		
Rondeletiola-minor-COI	Cephalopoda/Sepiida/Sepiolidae/Rondeletiola-minor	1.0	13	13	Animalia	Mollusca	Cephalopoda	Sepiida	Sepiolidae	Rondeletiola	Rondeletiola minor		
Rossia-macrosoma-COI	Cephalopoda/Sepiida/Sepiolidae/Rossia-macrosoma	1.0	8	8	Animalia	Mollusca	Cephalopoda	Sepiida	Sepiolidae	Rossia	Rossia macrosoma		
Rossia-pacifica-COI	Cephalopoda/Sepiida/Sepiolidae/Rossia-pacifica	1.0	9	9	Animalia	Mollusca	Cephalopoda	Sepiida	Sepiolidae	Rossia	Rossia pacifica		
Rossia-palpebrosa-COI	Cephalopoda/Sepiida/Sepiolidae/Rossia-palpebrosa	1.0	3	3	Animalia	Mollusca	Cephalopoda	Sepiida	Sepiolidae	Rossia	Rossia palpebrosa		
Rostanga-pulchra-COI	Gastropoda/Nudibranchia/Discodorididae/Rostanga-pulchra	1.0	5	5	Animalia	Mollusca	Gastropoda	Nudibranchia	Discodorididae	Rostanga	Rostanga pulchra		
Ruditapes-decussatus-COI	Bivalvia/Venerida/Veneridae/Ruditapes-decussatus	1.0	43	43	Animalia	Mollusca	Bivalvia	Venerida	Veneridae	Ruditapes	Ruditapes decussatus		
Ruditapes-philippinarum-COI	Bivalvia/Venerida/Veneridae/Ruditapes-philippinarum	1.0	16	16	Animalia	Mollusca	Bivalvia	Venerida	Veneridae	Ruditapes	Ruditapes philippinarum		
Saccostrea-palmula-COI	Bivalvia/Ostreida/Ostreidae/Saccostrea-palmula	1.0	75	75	Animalia	Mollusca	Bivalvia	Ostreida	Ostreidae	Saccostrea	Saccostrea palmula		
Sagittunio-nasutus-COI	Bivalvia/Unionida/Unionidae/Sagittunio-nasutus	1.0	4	4	Animalia	Mollusca	Bivalvia	Unionida	Unionidae	Sagittunio	Sagittunio nasutus		Ligumia nasuta
Sassia-remensa-COI	Gastropoda/Littorinimorpha/Cymatiidae/Sassia-remensa	1.0	100	100	Animalia	Mollusca	Gastropoda	Littorinimorpha	Cymatiidae	Sassia	Sassia remensa		
Saxidomus-gigantea-COI	Bivalvia/Venerida/Veneridae/Saxidomus-gigantea	1.0	8	8	Animalia	Mollusca	Bivalvia	Venerida	Veneridae	Saxidomus	Saxidomus gigantea		
Scabrotrophon-fabricii-COI	Gastropoda/Neogastropoda/Muricidae/Scabrotrophon-fabricii	1.0	3	3	Animalia	Mollusca	Gastropoda	Neogastropoda	Muricidae	Scabrotrophon	Scabrotrophon fabricii		
Scabrotrophon-inspiratus-COI	Gastropoda/Neogastropoda/Muricidae/Scabrotrophon-inspiratus	1.0	50	50	Animalia	Mollusca	Gastropoda	Neogastropoda	Muricidae	Scabrotrophon	Scabrotrophon inspiratus		Scabrotrophon inspiratum
Scabrotrophon-maltzani-COI	Gastropoda/Neogastropoda/Muricidae/Scabrotrophon-maltzani	1.0	6	6	Animalia	Mollusca	Gastropoda	Neogastropoda	Muricidae	Scabrotrophon	Scabrotrophon maltzani		
Scabrotrophon-manai-COI	Gastropoda/Neogastropoda/Muricidae/Scabrotrophon-manai	1.0	12	12	Animalia	Mollusca	Gastropoda	Neogastropoda	Muricidae	Scabrotrophon	Scabrotrophon manai		
Scaphander-lignarius-COI	Gastropoda/Cephalaspidea/Scaphandridae/Scaphander-lignarius	1.0	12	12	Animalia	Mollusca	Gastropoda	Cephalaspidea	Scaphandridae	Scaphander	Scaphander lignarius		
Schizoplax-brandtii-COI	Polyplacophora/Chitonida/Schizoplacidae/Schizoplax-brandtii	1.0	34	34	Animalia	Mollusca	Polyplacophora	Chitonida	Schizoplacidae	Schizoplax	Schizoplax brandtii		
Sepia-elegans-COI	Cephalopoda/Sepiida/Sepiidae/Sepia-elegans	1.0	3	3	Animalia	Mollusca	Cephalopoda	Sepiida	Sepiidae	Sepia	Sepia elegans		
Sepia-pharaonis-COI	Cephalopoda/Sepiida/Sepiidae/Sepia-pharaonis	1.0	3	3	Animalia	Mollusca	Cephalopoda	Sepiida	Sepiidae	Sepia	Sepia pharaonis		
Sepietta-oweniana-COI	Cephalopoda/Sepiida/Sepiolidae/Sepietta-oweniana	1.0	4	4	Animalia	Mollusca	Cephalopoda	Sepiida	Sepiolidae	Sepietta	Sepietta oweniana		
Sepiola-atlantica-COI	Cephalopoda/Sepiida/Sepiolidae/Sepiola-atlantica	1.0	3	3	Animalia	Mollusca	Cephalopoda	Sepiida	Sepiolidae	Sepiola	Sepiola atlantica		
Sepiola-pfefferi-COI	Cephalopoda/Sepiida/Sepiolidae/Sepiola-pfefferi	1.0	9	9	Animalia	Mollusca	Cephalopoda	Sepiida	Sepiolidae	Sepiola	Sepiola pfefferi		
Sepiola-tridens-COI	Cephalopoda/Sepiida/Sepiolidae/Sepiola-tridens	1.0	18	18	Animalia	Mollusca	Cephalopoda	Sepiida	Sepiolidae	Sepiola	Sepiola tridens		
Serripes-laperousii-COI	Bivalvia/Cardiida/Cardiidae/Serripes-laperousii	1.0	3	3	Animalia	Mollusca	Bivalvia	Cardiida	Cardiidae	Serripes	Serripes laperousii		
Setia-alexandrae-COI	Gastropoda/Littorinimorpha/Rissoidae/Setia-alexandrae	1.0	3	3	Animalia	Mollusca	Gastropoda	Littorinimorpha	Rissoidae	Setia	Setia alexandrae		
Setia-ermelindoi-COI	Gastropoda/Littorinimorpha/Rissoidae/Setia-ermelindoi	1.0	3	3	Animalia	Mollusca	Gastropoda	Littorinimorpha	Rissoidae	Setia	Setia ermelindoi		
Setia-subvaricosa-COI	Gastropoda/Littorinimorpha/Rissoidae/Setia-subvaricosa	1.0	3	3	Animalia	Mollusca	Gastropoda	Littorinimorpha	Rissoidae	Setia	Setia subvaricosa		
